 * Serving Flask app "server" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.31.100.21:5001/ (Press CTRL+C to quit)
172.17.135.218 - - [25/Nov/2023 12:05:38] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:40] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:41] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:42] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:43] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:43] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:43] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:43] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:43] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:43] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:46] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:46] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:46] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:46] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:47] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:47] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:47] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:47] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:48] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:48] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:48] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:48] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:57] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:57] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:57] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
